city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
1,230,3,4,3,0,1,0,0.0,3600.0,409.0,55.0,4064.0
1,17,1,1,0,1,0,1,300.0,2400.0,50.0,31.0,2781.0
1,67,2,2,1,17,1,0,740.0,2200.0,170.0,28.0,3138.0
1,20,1,1,0,1,1,1,683.5,2060.0,0.0,27.0,2087.0
1,118,3,2,2,7,1,1,1880.0,8500.0,434.0,108.0,10920.0
1,43,1,1,1,2,1,0,850.0,2430.0,172.0,31.0,3483.0
1,195,2,3,1,10,1,0,1500.0,6000.0,334.0,77.0,7911.0
1,141,3,4,3,7,0,0,1646.0,7500.0,735.0,96.0,9977.0
1,45,1,1,1,1,0,0,550.0,2300.0,0.0,30.0,2880.0
1,48,1,1,1,19,1,0,588.0,1525.0,0.0,6.0,2119.0
1,280,3,4,2,3,0,0,4000.0,6000.0,1059.0,77.0,11140.0
1,170,3,2,2,5,0,0,2199.0,5000.0,423.0,64.0,7686.0
1,90,3,2,1,0,1,0,0.0,3260.0,0.0,50.0,3310.0
0,35,1,1,1,7,1,0,392.0,1100.0,13.0,14.0,1519.0
1,16,1,1,0,8,0,0,390.0,2300.0,100.0,30.0,2820.0
0,68,1,1,1,10,0,1,600.0,1000.0,48.0,13.0,1661.0
1,80,3,5,2,4,0,0,3460.0,12000.0,1000.0,153.0,16610.0
1,190,3,2,1,6,1,1,3040.0,8000.0,556.0,102.0,11700.0
1,150,3,4,2,0,0,0,0.0,3400.0,0.0,52.0,3452.0
1,112,3,3,2,12,1,1,1100.0,2670.0,188.0,34.0,3992.0
1,145,3,4,3,1,0,0,1200.0,6000.0,750.0,77.0,8027.0
0,47,1,1,1,8,1,0,560.0,1100.0,46.0,14.0,1720.0
1,128,3,2,1,3,1,1,1094.0,4529.0,242.0,58.0,5923.0
1,250,3,4,4,0,1,0,0.0,4500.0,334.0,68.0,4902.0
1,120,3,1,0,2,1,0,250.0,1460.0,0.0,21.0,1731.0
1,110,2,2,2,0,0,0,0.0,2700.0,300.0,41.0,3041.0
1,400,2,5,4,0,1,0,0.0,6000.0,484.0,91.0,6575.0
1,35,1,1,1,9,0,1,1050.0,2600.0,317.0,33.0,4000.0
1,107,2,2,2,18,1,1,1800.0,12800.0,417.0,163.0,15180.0
1,97,2,2,0,1,1,0,1200.0,5600.0,0.0,71.0,6871.0
1,70,2,1,0,1,0,0,350.0,1050.0,116.0,14.0,1530.0
1,20,1,1,0,3,0,1,150.0,3142.0,67.0,40.0,3399.0
1,130,3,2,2,6,1,0,1100.0,3500.0,209.0,45.0,4854.0
1,120,3,2,3,16,1,0,1400.0,2000.0,292.0,26.0,3718.0
1,110,3,3,2,2,1,1,1000.0,3800.0,192.0,49.0,5041.0
1,300,3,5,3,0,1,0,0.0,11900.0,250.0,179.0,12330.0
1,349,4,5,4,8,0,0,3100.0,11000.0,0.0,140.0,14240.0
1,97,3,2,2,1,1,0,730.0,3000.0,303.0,39.0,4072.0
1,84,4,1,3,5,0,0,1914.0,6000.0,804.0,77.0,8795.0
1,180,2,2,1,0,0,0,0.0,2800.0,105.0,43.0,2948.0
1,286,4,4,5,0,1,0,0.0,10000.0,1000.0,151.0,11150.0
1,500,5,7,5,22,1,0,5500.0,14000.0,2084.0,178.0,21760.0
1,110,3,3,3,4,1,0,1195.0,2350.0,670.0,30.0,4245.0
1,196,4,4,0,11,1,0,2450.0,6000.0,1458.0,77.0,9985.0
1,33,1,1,1,12,0,0,552.0,4150.0,95.0,53.0,4850.0
1,400,4,4,3,0,1,0,683.5,9000.0,542.0,136.0,9678.0
1,170,2,1,0,1,1,1,0.0,2481.0,0.0,26.0,2507.0
1,90,1,1,0,0,1,0,0.0,2200.0,109.0,34.0,2343.0
1,184,3,4,3,12,1,0,2700.0,1400.0,692.0,18.0,4810.0
1,117,2,2,1,11,0,1,630.0,7130.0,150.0,91.0,8001.0
1,11,1,1,0,0,0,1,0.0,1181.0,0.0,15.0,1196.0
0,57,1,1,1,2,1,0,605.0,800.0,66.0,11.0,1482.0
1,16,1,1,0,1,0,0,0.0,850.0,30.0,11.0,891.0
1,180,4,3,1,4,1,1,1572.0,5000.0,240.0,64.0,6876.0
1,250,3,4,2,16,1,0,3300.0,6000.0,517.0,77.0,9894.0
1,220,3,4,2,0,1,1,0.0,7000.0,434.0,106.0,7540.0
1,360,3,5,4,22,1,0,2398.0,3135.0,1467.0,40.0,7040.0
1,122,3,4,3,5,1,0,683.5,4500.0,0.0,58.0,4558.0
1,138,3,4,3,2,0,0,790.0,7000.0,690.0,89.0,8569.0
1,110,3,1,1,1,1,0,1235.0,1400.0,0.0,18.0,2653.0
1,220,4,3,3,3,1,0,1600.0,3400.0,0.0,44.0,5044.0
1,118,3,2,1,11,0,0,1116.0,4775.0,185.0,61.0,6137.0
1,180,2,2,1,15,1,0,1800.0,5350.0,0.0,68.0,7218.0
1,52,2,1,1,7,1,0,540.0,1300.0,63.0,17.0,1920.0
1,30,1,1,0,1,1,1,0.0,1550.0,21.0,20.0,1591.0
1,160,3,3,2,5,1,1,1650.0,1500.0,419.0,20.0,3589.0
0,209,3,3,2,0,0,0,593.0,2550.0,237.0,39.0,3419.0
1,450,5,5,6,0,1,0,0.0,9500.0,1345.0,143.0,10990.0
1,117,3,3,3,10,1,0,2280.0,2300.0,700.0,30.0,5310.0
1,900,4,6,8,0,1,0,0.0,15000.0,4417.0,226.0,19640.0
1,200,3,3,0,0,1,0,683.5,4500.0,71.0,68.0,4639.0
1,128,3,3,2,10,1,0,2600.0,3800.0,605.0,49.0,7054.0
1,140,3,2,2,2,1,0,1480.0,3700.0,167.0,47.0,5394.0
1,180,3,3,4,27,1,0,2000.0,7000.0,859.0,89.0,9948.0
1,280,4,4,5,9,1,0,3000.0,3200.0,875.0,41.0,7116.0
1,420,4,6,4,8,1,0,3500.0,15000.0,2250.0,191.0,20940.0
1,48,1,1,1,8,1,1,740.0,2700.0,137.0,35.0,3612.0
1,148,3,2,2,2,0,1,2830.0,9000.0,267.0,115.0,12210.0
1,75,2,1,1,5,0,0,748.0,2000.0,0.0,26.0,2774.0
1,44,1,1,0,1,0,0,417.0,3016.0,0.0,12.0,3445.0
1,35,1,1,0,0,1,0,0.0,1100.0,30.0,14.0,1144.0
1,320,4,2,2,0,1,1,0.0,8000.0,642.0,121.0,8763.0
0,98,3,2,1,1,1,0,727.0,1233.0,84.0,16.0,2060.0
0,51,1,1,0,12,0,1,707.0,1300.0,45.0,17.0,2069.0
1,322,4,5,5,17,1,1,2700.0,15000.0,1875.0,191.0,19770.0
1,187,4,5,3,5,1,0,3912.0,5300.0,1424.0,68.0,10700.0
1,62,3,2,1,6,0,1,1550.0,4800.0,167.0,61.0,6578.0
1,130,2,2,1,0,1,0,1100.0,4300.0,100.0,55.0,5555.0
0,600,4,6,3,0,1,0,1123.0,5500.0,819.0,83.0,7525.0
1,520,3,4,2,0,1,0,0.0,9000.0,1500.0,136.0,10640.0
1,86,1,2,1,13,1,1,1800.0,6500.0,375.0,83.0,8758.0
1,72,2,2,1,6,1,0,1100.0,5431.0,334.0,69.0,6934.0
1,550,4,4,4,0,1,0,0.0,14000.0,1334.0,211.0,15550.0
1,50,1,1,0,0,0,0,0.0,1220.0,0.0,19.0,1239.0
1,298,5,3,3,0,1,0,0.0,8000.0,1384.0,121.0,9505.0
0,74,3,2,1,10,1,0,700.0,1800.0,120.0,23.0,2643.0
1,41,1,1,0,17,1,1,450.0,2470.0,0.0,32.0,2952.0
0,80,3,2,2,2,1,0,750.0,1450.0,110.0,19.0,2329.0
1,130,3,2,1,1,1,0,1200.0,4500.0,100.0,58.0,5858.0
1,64,1,2,2,15,1,0,691.0,2100.0,92.0,27.0,2910.0
1,50,1,1,1,9,0,0,1170.0,2730.0,9.0,35.0,3944.0
1,200,3,2,4,0,1,0,0.0,3500.0,0.0,53.0,3553.0
1,70,1,1,2,9,1,1,2150.0,7000.0,542.0,89.0,9781.0
0,41,1,1,1,11,1,0,390.0,1950.0,65.0,14.0,2419.0
1,89,2,2,0,2,1,0,1000.0,1900.0,0.0,25.0,2925.0
1,250,4,2,8,0,1,0,0.0,13040.0,500.0,197.0,13740.0
1,105,2,1,0,0,1,0,0.0,1800.0,125.0,28.0,1953.0
1,150,2,2,1,0,1,0,1.0,2100.0,0.0,32.0,2133.0
1,50,2,1,1,14,0,0,450.0,1950.0,0.0,25.0,2425.0
1,180,3,2,1,0,1,0,683.5,5400.0,459.0,82.0,5941.0
1,50,1,1,0,0,0,0,0.0,1000.0,0.0,16.0,1016.0
0,70,1,1,2,0,1,0,0.0,1450.0,5.0,22.0,1477.0
1,177,2,2,2,0,1,0,0.0,6000.0,342.0,91.0,6433.0
1,177,4,5,4,12,1,0,1500.0,9200.0,959.0,117.0,11780.0
1,18,1,1,0,0,1,0,0.0,1710.0,0.0,22.0,1732.0
1,200,3,4,2,0,1,0,0.0,2900.0,1100.0,44.0,4044.0
1,45,1,1,1,1,0,1,3000.0,5520.0,0.0,70.0,8590.0
0,70,2,1,1,3,1,0,220.0,750.0,43.0,10.0,1023.0
1,66,3,2,1,9,1,0,708.0,2179.0,13.0,28.0,2928.0
1,48,2,1,0,2,1,0,90.0,1150.0,90.0,15.0,1345.0
1,515,5,4,3,5,1,0,5600.0,15000.0,250.0,191.0,21040.0
1,55,2,2,1,7,1,0,650.0,2000.0,0.0,26.0,2676.0
1,350,4,5,2,0,1,0,0.0,5000.0,325.0,76.0,5401.0
1,260,3,3,3,8,1,1,2210.0,5000.0,842.0,64.0,8116.0
1,78,2,1,1,7,1,0,645.0,2000.0,35.0,26.0,2706.0
1,35,1,1,0,6,1,1,420.0,1780.0,0.0,23.0,2223.0
1,106,2,1,2,0,0,0,0.0,2100.0,110.0,32.0,2242.0
1,500,3,3,5,0,1,1,0.0,15000.0,1125.0,226.0,16350.0
1,38,1,1,0,0,0,0,683.5,1650.0,0.0,25.0,1675.0
1,153,2,2,1,15,1,1,1500.0,11900.0,350.0,151.0,13900.0
1,64,2,2,2,5,1,0,830.0,1600.0,205.0,21.0,2656.0
1,260,3,4,4,0,1,0,0.0,4500.0,0.0,68.0,4568.0
0,50,1,1,1,11,1,0,1500.0,500.0,105.0,7.0,2112.0
1,170,3,2,1,14,1,1,1700.0,4500.0,85.0,58.0,6343.0
1,120,2,2,2,15,1,1,1043.0,4880.0,264.0,62.0,6249.0
1,700,4,5,2,10,1,1,3000.0,8000.0,402.0,102.0,11500.0
1,270,5,7,2,0,1,0,0.0,3978.0,89.0,60.0,4127.0
1,40,1,1,0,6,1,0,890.0,3463.0,0.0,32.0,4385.0
1,640,4,4,4,12,1,1,5400.0,10200.0,1584.0,130.0,17310.0
1,40,1,1,0,0,1,0,0.0,980.0,59.0,15.0,1054.0
1,40,2,1,0,3,1,0,348.0,1100.0,0.0,14.0,1462.0
1,42,1,1,1,0,1,1,450.0,2000.0,88.0,26.0,2564.0
1,62,1,1,0,3,1,0,550.0,2100.0,0.0,27.0,2677.0
1,106,2,3,2,18,0,1,950.0,5000.0,250.0,64.0,6264.0
1,103,3,2,1,7,1,0,944.0,4400.0,126.0,56.0,5526.0
1,360,3,5,3,13,1,0,4300.0,8500.0,1500.0,108.0,14410.0
1,113,1,1,2,9,1,1,650.0,6400.0,0.0,82.0,7132.0
1,164,4,4,3,1,1,0,1840.0,6000.0,550.0,77.0,8467.0
1,110,3,2,3,0,1,0,0.0,2800.0,15.0,43.0,2858.0
1,110,2,2,1,8,1,1,1285.0,4348.0,196.0,56.0,5885.0
1,136,4,3,1,3,1,0,1800.0,4200.0,312.0,54.0,6366.0
0,65,1,1,1,9,1,0,380.0,1200.0,83.0,16.0,1679.0
1,62,2,1,1,8,0,0,735.0,1345.0,35.0,18.0,2133.0
0,163,3,5,3,20,1,0,1450.0,9800.0,350.0,125.0,11730.0
1,47,2,1,1,12,1,0,597.0,1570.0,0.0,20.0,2187.0
1,50,1,1,1,1,1,0,795.0,3500.0,213.0,45.0,4553.0
1,79,3,2,2,6,1,1,900.0,3000.0,209.0,39.0,4148.0
1,250,3,3,2,7,0,1,1400.0,5380.0,234.0,69.0,7083.0
1,50,2,1,1,6,1,0,380.0,1210.0,0.0,16.0,1606.0
1,150,3,3,2,0,1,0,0.0,5000.0,235.0,76.0,5311.0
0,76,2,1,0,2,1,0,300.0,700.0,100.0,9.0,1109.0
1,72,2,2,1,7,1,0,520.0,1800.0,159.0,23.0,2502.0
1,35,1,1,1,17,1,1,1280.0,4000.0,200.0,51.0,5531.0
1,250,3,4,4,16,1,0,3421.0,10700.0,1224.0,136.0,15480.0
0,85,3,1,1,9,0,0,598.0,1110.0,63.0,15.0,1786.0
0,60,1,1,1,14,1,0,583.0,1100.0,49.0,14.0,1746.0
0,47,2,1,1,0,1,0,255.0,1290.0,33.0,17.0,1595.0
1,104,3,3,2,3,0,1,915.0,9000.0,254.0,115.0,10280.0
0,203,3,1,2,0,1,0,0.0,3300.0,117.0,50.0,3467.0
1,136,3,2,1,85,1,0,1513.0,3500.0,260.0,45.0,5318.0
1,53,1,1,1,3,1,0,694.0,4500.0,200.0,58.0,5452.0
1,400,4,3,2,0,1,0,0.0,15000.0,1870.0,226.0,17100.0
1,40,1,1,1,14,1,1,480.0,4200.0,75.0,54.0,4809.0
1,38,1,1,0,6,1,0,0.0,1680.0,0.0,22.0,1702.0
1,340,4,6,4,8,1,1,3100.0,2800.0,1667.0,36.0,7603.0
0,134,3,3,2,7,0,0,1000.0,2500.0,177.0,32.0,3709.0
1,97,2,2,0,9,1,1,453.0,3000.0,0.0,39.0,3492.0
1,90,1,1,0,0,0,0,683.5,1150.0,59.0,18.0,1227.0
1,260,4,5,2,1,1,1,2600.0,8000.0,417.0,102.0,11120.0
1,66,2,1,0,7,1,0,356.0,1650.0,0.0,21.0,2027.0
1,92,2,1,1,12,0,0,2750.0,2930.0,448.0,38.0,6166.0
1,92,3,3,1,3,1,1,750.0,4250.0,21.0,54.0,5075.0
1,155,3,4,2,14,1,0,1400.0,13100.0,409.0,166.0,15080.0
1,30,1,1,0,1,0,0,683.5,900.0,0.0,12.0,912.0
1,27,1,1,0,5,0,0,1405.0,3500.0,1.0,45.0,4951.0
1,175,4,3,2,0,1,0,0.0,3200.0,380.0,49.0,3629.0
1,326,3,4,4,12,1,0,2808.0,6500.0,1605.0,83.0,11000.0
1,236,4,5,4,7,1,0,3500.0,10000.0,1834.0,127.0,15460.0
0,119,3,1,1,5,1,0,926.0,1200.0,100.0,16.0,2242.0
1,23,1,1,0,23,1,0,383.0,2050.0,40.0,26.0,2499.0
1,260,2,4,4,19,0,0,2000.0,8000.0,667.0,102.0,10770.0
1,400,3,3,2,0,0,0,0.0,12000.0,0.0,181.0,12180.0
